id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
Jan-99,Australia,AUL,900,1985,30505,Hobart,2,Tasmania,Hobart,NA,Hobart,0,NA,flood,1985-0210,-42.89783873,147.2876087
Jan-99,Australia,AUL,900,1985,30506,Melbourne,2,Victoria,Melbourne,NA, Melbourne,0,NA,flood,1985-0210,-37.8105024,144.9438982
Feb-32,Australia,AUL,900,2017,31957,Mackay,2,Queensland,Mackay,NA, Mackay,0,NA,storm,2017-0105,-21.13923807,148.8036419
Feb-32,Australia,AUL,900,2017,31959,Logan,2,Queensland,Logan,NA,Logan region,0,NA,storm,2017-0105,-27.76240727,153.0402316
Feb-32,Australia,AUL,900,2017,31960,Whitsunday,2,Queensland,Whitsunday,NA, Airlie beach ,0,NA,storm,2017-0105,-20.70098702,147.7247546
18-Jun,Australia,AUL,900,2015,44194,Ashburton,2,Western Australia,Ashburton,NA, Ashburton,0,NA,storm,2015-0135,-22.49417582,116.728745
18-Jun,Australia,AUL,900,2015,44195,Carnarvon,2,Western Australia,Carnarvon,NA,Carnarvon,0,NA,storm,2015-0135,-24.35032517,114.3910318
18-Jun,Australia,AUL,900,2015,44196,Upper Gascoyne,2,Western Australia,Upper Gascoyne,NA, Upper Gascoyne,0,NA,storm,2015-0135,-24.72579094,116.3567189
18-Jun,Australia,AUL,900,2015,44197,Geraldton-Greenough,2,Western Australia,Geraldton-Greenough,NA, Geraldton-Greenough,0,NA,storm,2015-0135,-28.83417755,114.8830111
18-Jun,Australia,AUL,900,2015,44198,Irwin,2,Western Australia,Irwin,NA, Irwin districts ,0,NA,storm,2015-0135,-29.32645356,115.0917485
291,Australia,AUS,900,1994,1041,Cessnock,2,New South Wales,Cessnock,NA,Cessnock,0,NA,earthquake,1994-0642,-32.92480474,151.2247887
293,Australia,AUS,900,1996,1375,Warringah,2,New South Wales,Warringah,NA,Northern New South Wales,0,NA,flood,1996-0320,-33.7106787,151.2313438
299,Australia,AUS,900,1998,1126,Katherine,2,Northern Territory,Katherine,NA,Katherine,0,NA,flood,1998-0022,-14.44592519,132.2718442
302,Australia,AUS,900,1998,1193,Narrabri,2,New South Wales,Narrabri,NA,Narrabri,0,NA,flood,1998-0227,-30.35602055,149.5645647
305,Australia,AUS,900,1999,1078,Exmouth,2,Western Australia,Exmouth,NA,Exmouth,0,NA,storm,1999-0092,-22.50639411,114.1987766
316,Australia,AUS,900,2001,1090,Gladstone,2,Queensland,Gladstone,NA,Gladstone,0,NA,flood,2001-0130,-23.85049828,151.2700384
327,Australia,AUS,900,2003,1081,Fairfield,2,New South Wales,Fairfield,NA,Fairfield,0,NA,flood,2003-0587,-27.50671185,153.0231587
329,Australia,AUS,900,2003,1092,Gladstone,2,Queensland,Gladstone,NA,Gladstone,0,NA,storm,2003-0616,-23.85049828,151.2700384
333,Australia,AUS,900,2004,990,Bellingen,2,New South Wales,Bellingen,NA,Urunga,0,NA,flood,2004-0537,-30.40336806,152.7286564
337,Australia,AUS,900,2005,1056,Gold Coast,2,Queensland,Gold Coast,NA,Currumbin,0,NA,flood,2005-0523,-28.13641971,153.482713
338,Australia,AUS,900,2005,972,Australian Capital Territory,1,Australian Capital Territory,NA,NA,Canberra,0,NA,storm,2005-0697,-35.49306739,149.0010156
339,Australia,AUS,900,2006,1072,East Pilbara,2,Western Australia,East Pilbara,NA,Pilbara Coast,0,NA,storm,2006-0043,-21.75983249,123.4944501
342,Australia,AUS,900,2006,1127,Katherine,2,Northern Territory,Katherine,NA,Katherine,0,NA,flood,2006-0179,-14.44592519,132.2718442
