disaster_no,event_name,disaster_type,disaster_subtype,location,start_year,start_month,end_year,end_month,total_deaths,no_injured,no_affected,total_affected,total_damage_adj_usd_thousands,latitude,longitude
2008-0017-AUS,,Flood,Riverine flood,"Yamba area (Unincorporated NSW, New South Wales province), Proserpine, Airlie Beach, Bowen areas (Whitsunday district, Queensland province), Giru area (Burdekin district, Queensland province), Georgetown area (Etheridge district, Queensland province), Charleville area (Murweh district, Queensland province), Aramac, Muttaburra, Willow villages (Barcaldine district, Queensland province), Belyando, Clermont villages (Isaac district, Queensland province), Emerald, Sapphire villages (Central Highlands district, Queensland province), hargomindah village (Bulloo district, Queensland province), Mirani, Finch Hatton villages (Mackay district, Queensland province), Cunnamulla village (Paroo district, Queensland province), Townsville, Charters Towers, Longreach, Winton, Barcoo, Quilpie, Blackall Tambo districts (Queensland province)",2008,1,2008,2.0,,,3200.0,3200.0,897183.0,-20.4,144.56
2008-0525-AUS,,Storm,Lightning/Thunderstorms,"Brisbane, Logan, Gold Coast, Sunshine Coast, Moreton Bay districts (Queensland province)",2008,11,2008,11.0,1.0,,12000.0,12000.0,672887.0,-30.05,151.49
2009-0615-AUS,,Flood,Riverine flood,"Queensland, New South Wales provinces",2009,1,2009,2.0,7.0,,9000.0,9000.0,225096.0,,
2009-0616-AUS,,Extreme temperature,Heat wave,"Victoria, New South wales (South), Tasmania (Northern) provinces",2009,1,2009,2.0,347.0,2000.0,,2000.0,,,
2010-0066-AUS,,Flood,Riverine flood,"Bega Valley, Eurobodalla, Bombala, Cooma-Monaro, Snowy River, Mid-Western Regional districts (New South Wales province)",2010,2,2010,2.0,,,,,,-32.42,149.59
2010-0125-AUS,,Storm,Severe weather,"Joondalup, Mandurah, Perth districts (Western Australia province)",2010,3,2010,3.0,,,,,2052233.0,,
2000-0750-AUS,,Flood,Riverine flood,"Bingara, Yallaroi villages (Gwydir district, New South Wales province), Coonebarabran village (Warrumbungle Shire district, New South Wales province), Berrigan, Corowa Shire, Deniliquin, Murray districts (New South Wales province)",2000,11,2000,12.0,,,600.0,600.0,495441.0,,
2000-0214-AUS,Tessi,Storm,Tropical cyclone,Townsville district (Queensland province),2000,4,2000,4.0,,,400.0,400.0,112175.0,,
2000-0249-AUS,,Infestation,Locust infestation,"South Australia, New South Wales, Queensland",2000,4,2000,4.0,,,,,224350.0,,
2000-0659-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts (New South Wales province)",2000,10,2000,10.0,,,200.0,200.0,,,
2000-0843-AUS,Sam,Storm,Tropical cyclone,"Bidyadanga area (Broome district, Western Australia province)",2000,12,2000,12.0,,,750.0,750.0,,,
2001-0045-AUS,,Storm,Storm (General),"Brisbane district (Queensland province), Kiama, Shellharbour, Wingecarribee, Wollongong, Hornsby, Ku-ring-gai, Waverley, Richmond Valley, Armidale Dumaresq, Tamworth Regional, Clarence Valley, Kyogle districts (New South Wales province)",2001,1,2001,1.0,1.0,27.0,,27.0,,,
2001-0103-AUS,,Flood,Coastal flood,"Pigeon Hole, Kalkarindji, Daguragu areas (Victoria-Daly district, Northern Territory province), Borroloola, Ryan's Bend areas (Roper Gulf district, Northern Territory province), Devil's Springs area (Barkly district, Northern Territory province)",2001,2,2001,2.0,,,670.0,670.0,23637.0,,
2002-0157-AUS,,Storm,Storm (General),"Sydney, Liverpoool, Fairfield, Holroyd, Parramatta, Blacktown, The Hills Shire, Campbelltown districts (New South Wales province)",2002,2,2002,2.0,,,,,,,
2002-0637-AUS,,Storm,Severe weather,New South Wales province,2002,9,2002,9.0,,,,,,,
2002-0765-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province)",2002,10,2002,12.0,2.0,4.0,,244.0,89491.0,,
2003-0030-AUS,,Wildfire,Forest fire,"Canberra region (Unincorporated ACT district, Australian Capital Territory province)",2003,1,2003,2.0,4.0,150.0,2500.0,2650.0,525026.0,,
2003-0288-AUS,,Storm,Tornado,Greater Bendigo district (Victoria province),2003,5,2003,5.0,,,240.0,270.0,,,
2003-0615-AUS,,Storm,Lightning/Thunderstorms,Melbourne district (Victoria province),2003,12,2003,12.0,,,,,162758.0,,
2004-0662-AUS,,Flood,Riverine flood,"Eidsvold village (North Burnett district, Queensland province), Wee Waa village (Narrabri district, New South Wales province), Weemelah, Mungindi villages (Moree Plains district, New South Wales province), Mullumbimby, Billinudgel villages (Byron district, New South Wales province), Orange New South Wales",2004,12,2004,12.0,3.0,,120.0,120.0,25567.0,,
2004-0674-AUS,,Storm,Storm (General),"Victoria, Queensland provinces",2004,1,2004,1.0,1.0,,,,85223.0,,
2006-0139-AUS,Larry,Storm,Tropical cyclone,Cairns district (Queensland province),2006,3,2006,4.0,,30.0,,7030.0,1884466.0,-17.91,145.54
2006-0155-AUS,Glenda,Storm,Tropical cyclone,"Exmouth, Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",2006,3,2006,4.0,,,500.0,500.0,,-25.68,115.13
2006-9554-AUS,,Drought,Drought,NO DATA: all country has been selected,2006,10,2006,,,,,,,,
2010-0120-AUS,"Cyclone ""Ului""",Storm,Tropical cyclone,"Mackay, Whitsunday districts (Queensland province)",2010,3,2010,3.0,1.0,,,,,,
